,id,date_added,uri,track_href,name,artist,country,type,tempo,duration_ms,time_signature,key,mode,danceability,energy,loudness,liveness,valence,speechiness,acousticness,instrumentalness
147,445,2024-02-29 00:00:00.939563,0fea68AdmYNygeTGI4RC18,https://api.spotify.com/v1/tracks/0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,El Salvador,audio_features,176.089,242573,4,7,1,0.754,0.646,-5.795,0.108,0.429,0.317,0.152,1.85e-05
148,433,2024-02-29 00:00:00.939563,6ED7qim1NAX1HjNU8039WS,https://api.spotify.com/v1/tracks/6ED7qim1NAX1HjNU8039WS,Alucin,Eugenio Esquivel,El Salvador,audio_features,128.0,197114,4,7,0,0.787,0.769,-4.681,0.115,0.509,0.0335,0.00331,0.00332
149,431,2024-02-29 00:00:00.939563,7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,Peso Pluma,El Salvador,audio_features,140.098,212878,3,5,0,0.646,0.736,-7.118,0.415,0.873,0.0449,0.216,0.0
150,427,2024-02-29 00:00:00.939563,4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/tracks/4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,El Salvador,audio_features,139.056,267194,4,4,0,0.787,0.621,-5.009,0.58,0.13,0.068,0.15,0.000402
151,438,2024-02-29 00:00:00.939563,3nNmRE0DxHC6ZaKkrpUumS,https://api.spotify.com/v1/tracks/3nNmRE0DxHC6ZaKkrpUumS,FINA,Bad Bunny,El Salvador,audio_features,94.601,216328,4,1,1,0.847,0.724,-5.41,0.118,0.396,0.298,0.0869,1.11e-06
152,425,2024-02-29 00:00:00.939563,5YJ4BVvTFmVCxUyhKejHfR,https://api.spotify.com/v1/tracks/5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,Tego Calderón,El Salvador,audio_features,91.995,151667,4,1,0,0.815,0.856,-3.825,0.244,0.872,0.122,0.4,8.34e-05
153,437,2024-02-29 00:00:00.939563,2ctjDCCg1wHoQSjIJ8p6U4,https://api.spotify.com/v1/tracks/2ctjDCCg1wHoQSjIJ8p6U4,Candy,Plan B,El Salvador,audio_features,95.981,207627,4,11,0,0.897,0.864,-3.735,0.517,0.542,0.147,0.252,0.0
154,440,2024-02-26 00:00:00.868043,5jt25aFjW2kNoBqaEVaz5W,https://api.spotify.com/v1/tracks/5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,Mora,El Salvador,audio_features,91.911,202174,4,5,0,0.757,0.789,-3.46,0.0717,0.464,0.0583,0.307,0.0
155,450,2024-02-13 04:21:09.093594,39L3LdlHS3gqB62HPWaJRg,https://api.spotify.com/v1/tracks/39L3LdlHS3gqB62HPWaJRg,NO ME QUIERO CASAR,Bad Bunny,El Salvador,audio_features,99.011,225655,4,1,1,0.914,0.698,-5.228,0.083,0.757,0.115,0.32,8.76e-06
156,435,2024-02-29 00:00:00.939563,0T2pB7P1VdXPhLdQZ488uH,https://api.spotify.com/v1/tracks/0T2pB7P1VdXPhLdQZ488uH,Normal,Feid,El Salvador,audio_features,170.082,171880,4,4,0,0.709,0.56,-4.867,0.315,0.541,0.171,0.034,0.0
157,419,2024-02-29 00:00:00.939563,2CeKVsFFXG4QzA415QygGb,https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid,El Salvador,audio_features,94.999,155960,4,5,1,0.865,0.573,-5.501,0.305,0.563,0.0678,0.0863,0.0
158,429,2024-02-29 00:00:00.939563,6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,El Salvador,audio_features,92.005,178567,4,1,0,0.911,0.712,-5.105,0.0933,0.425,0.0817,0.0901,2.68e-05
159,3200,2024-02-29 00:00:00.939563,6M6ZNRplLNspFEn6Ab3mOv,https://api.spotify.com/v1/tracks/6M6ZNRplLNspFEn6Ab3mOv,オレンジ,SPYAIR,Japan,audio_features,100.267,235200,4,2,1,0.402,0.878,-4.367,0.173,0.358,0.0846,0.000242,0.0
160,436,2024-02-29 00:00:00.939563,0WKd91LoIHCFIhDmgewjhy,https://api.spotify.com/v1/tracks/0WKd91LoIHCFIhDmgewjhy,Solos,Tony Dize,El Salvador,audio_features,83.962,188827,4,9,0,0.73,0.706,-5.274,0.361,0.935,0.0802,0.518,0.0
161,421,2024-02-29 00:00:00.939563,3QQAeMQbbjZXVFbF8DgFWT,https://api.spotify.com/v1/tracks/3QQAeMQbbjZXVFbF8DgFWT,FIRST LOVE,Oscar Ortiz,El Salvador,audio_features,73.929,169440,4,2,1,0.694,0.588,-6.24,0.299,0.794,0.0565,0.358,0.0
162,434,2024-02-29 00:00:00.939563,3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,El Salvador,audio_features,120.001,212241,4,7,1,0.629,0.733,-5.445,0.357,0.362,0.0419,0.0025,0.0
163,423,2024-02-29 00:00:00.939563,2kz1YOhJiNubjigR1gB1VX,https://api.spotify.com/v1/tracks/2kz1YOhJiNubjigR1gB1VX,DILUVIO,Rauw Alejandro,El Salvador,audio_features,94.969,197053,4,9,0,0.845,0.795,-3.502,0.224,0.681,0.0681,0.343,1.78e-05
164,441,2024-02-29 00:00:00.939563,4loIMejzvt11s97SGVEat8,https://api.spotify.com/v1/tracks/4loIMejzvt11s97SGVEat8,Poco A Poco,Xavi,El Salvador,audio_features,140.282,156040,3,4,0,0.779,0.88,-2.212,0.0691,0.732,0.065,0.426,0.0
165,3240,2024-02-29 00:00:00.939563,57wp7VFnV8X0pSVnYArGeJ,https://api.spotify.com/v1/tracks/57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,USA,audio_features,96.028,161342,4,9,0,0.82,0.487,-7.358,0.0803,0.431,0.0959,0.102,0.0
166,443,2024-02-29 00:00:00.939563,69Ej1xrGjOcHvIMtMKxK0G,https://api.spotify.com/v1/tracks/69Ej1xrGjOcHvIMtMKxK0G,Dile,Don Omar,El Salvador,audio_features,94.001,204600,4,4,0,0.817,0.714,-7.501,0.042,0.714,0.141,0.184,0.000132
167,439,2024-02-29 00:00:00.939563,3tt9i3Hhzq84dPS8H7iSiJ,https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,Manuel Turizo,El Salvador,audio_features,124.98,162638,4,7,0,0.835,0.679,-5.329,0.218,0.85,0.0364,0.583,1.98e-06
168,426,2024-02-29 00:00:00.939563,1zsPaEkglFvxjAhrM8yhpr,https://api.spotify.com/v1/tracks/1zsPaEkglFvxjAhrM8yhpr,Hey Mor,Ozuna,El Salvador,audio_features,98.002,196600,4,1,0,0.901,0.589,-6.713,0.0992,0.399,0.289,0.00302,0.000237
169,444,2024-02-29 00:00:00.939563,2hn2zOA2XFlv6DSmesylrL,https://api.spotify.com/v1/tracks/2hn2zOA2XFlv6DSmesylrL,QUEMA,Ryan Castro,El Salvador,audio_features,97.008,150619,4,0,1,0.791,0.892,-2.58,0.0609,0.916,0.0521,0.0509,0.000355
170,430,2024-02-29 00:00:00.939563,54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,MI EX TENÍA RAZÓN,KAROL G,El Salvador,audio_features,159.845,154375,4,5,0,0.634,0.725,-4.945,0.211,0.795,0.0587,0.0776,0.0
171,442,2024-02-29 00:00:00.939563,7JbMsR4rZh6J77LNafur8U,https://api.spotify.com/v1/tracks/7JbMsR4rZh6J77LNafur8U,¿por Que Te Demoras?,Plan B,El Salvador,audio_features,96.018,190493,4,2,0,0.895,0.792,-5.923,0.0547,0.941,0.0769,0.0386,0.0
172,448,2024-02-25 00:00:00.144106,0CYTGMBYkwUxrj1MWDLrC5,https://api.spotify.com/v1/tracks/0CYTGMBYkwUxrj1MWDLrC5,CHORRITO PA LAS ANIMAS,Feid,El Salvador,audio_features,95.975,168133,4,8,0,0.743,0.831,-4.042,0.35,0.609,0.0584,0.114,6.43e-05
173,432,2024-02-29 00:00:00.939563,5HR7yfhSCeoOHRQN05XnZQ,https://api.spotify.com/v1/tracks/5HR7yfhSCeoOHRQN05XnZQ,QUE VUELVAS,Grupo Frontera,El Salvador,audio_features,162.542,169419,4,10,1,0.497,0.644,-4.309,0.114,0.779,0.0443,0.188,0.0
174,420,2024-02-29 00:00:00.939563,6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/tracks/6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo,El Salvador,audio_features,100.02,186000,4,5,1,0.668,0.712,-5.927,0.108,0.264,0.0381,0.369,2.13e-05
175,417,2024-02-29 00:00:00.939563,25OeKzcqakFPaJlXHPE5lm,https://api.spotify.com/v1/tracks/25OeKzcqakFPaJlXHPE5lm,Primera Cita,Carin Leon,El Salvador,audio_features,157.795,186456,3,10,1,0.535,0.395,-7.805,0.0969,0.488,0.0634,0.597,6.78e-05
